Question,Answer,File,URL
Which Indigenous communities' traditional territories do SFU campuses reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
Where can I find the most up-to-date information on Financial Aid for Indigenous Students attending SFU?  ,Financial Aid.,0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
What is the contact email for Financial Aid inquiries for Indigenous Students at SFU?  ,faa_isc@sfu.ca,0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
What is the phone number to contact for Financial Aid related questions?  ,778.782.3028,0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
When and where are the monthly Financial Aid meetings held on the Burnaby Campus?  ,"Thursdays (monthly), 1:00pm to 2:00pm, AQ 2002, Burnaby Campus",0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
When and where are the monthly Financial Aid meetings held on the Surrey Campus?  ,"Thursdays (monthly), 1:30pm to 2:30pm, SRYC 5300, Surrey Campus",0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
How can I learn more about bursaries and scholarships available for Aboriginal post-secondary students?  ,"You can learn more by following the provided links to bursaries and scholarships aimed at Aboriginal post-secondary students, or by contacting Rachel Dawson at adta@sfu.ca or Stephanie Santoso at gradawards@sfu.ca.",0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
Who should I contact for questions about scholarships and awards at SFU?  ,"Rachel Dawson, Associate Director, Training and Awards (adta@sfu.ca)  
Stephanie Santoso, Graduate Awards Manager (gradawards@sfu.ca)",0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
What is the email address for contacting Rachel Dawson regarding training and awards?  ,adta@sfu.ca,0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
"Who is the Graduate Awards Manager at SFU, and how can they be reached?  ","Stephanie Santoso, gradawards@sfu.ca",0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
How can I access Emergency Funding options offered by SFU?  ,"To access the Emergency Funding options offered by SFU, please contact any one of the Indigenous Student Life Coordinators at the ISC.",0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
Who are the Indigenous Student Life Coordinators at the ISC that I can contact for Emergency Funding?  ,The provided context does not specify the names of the Indigenous Student Life Coordinators at the ISC.,0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
What is the address of the SFU Burnaby Campus?  ,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
Which Indigenous communities' traditional territories do SFU's campuses reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_6_1_1_11,http://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
What is the purpose of the Indigenous Student Community at SFU?,To support Indigenous students’ wellness goals and foster a sense of community through activities and events.,0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
How can I participate in the Indigenous Student Community activities?,"Join the community of Indigenous students, participate in in-person activities throughout the year, and attend workshops and events listed on the ISC Calendar of Events.",0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
Where can I find the ISC Calendar of Events?,You can find the ISC Calendar of Events to learn more about upcoming workshops and activities.,0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
Who can I contact for questions or suggestions related to Indigenous Student Life?,"Indigenous Student Life Coordinator, Liz Adams (elizabeth_adams@sfu.ca)",0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
When and where is the cooking program held?,"Fridays, 10:30am-12:00pm in AQ 2002.",0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
What time does the Watercolour Wednesdays activity take place?,12:30pm-2:00pm,0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
Who are the instructors for the Watercolour Wednesdays?,Kim and Liz,0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
Where is the campus located?,"8888 University Drive Burnaby, B.C. Canada V5A 1S6",0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
Which Indigenous peoples' traditional territories does SFU reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
What is SFU’s policy regarding privacy and terms and conditions?,Terms & Conditions Privacy policy,0_17,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
What supports are available for student well-being at SFU’s Indigenous Student Centre?,"Supports available at SFU’s Indigenous Student Centre include wholistic wellness programs, a Calender of Events for upcoming programs, a feedback form and email for program suggestions, a Wellness Program for community and in-person programs, one-on-one appointments or workshops with Indigenous Clinical Counsellors, Elders Program Drop-in for casual conversations and knowledge sharing, and Cultural Connections workshops.",0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
How can I learn about upcoming wellness programs hosted by the ISC?,You can learn about upcoming wellness programs hosted by the ISC by checking their Calendar of Events.,0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
How can I provide feedback or suggest new programs at the ISC?,You can fill out the feedback form or email iscadmin@sfu.ca.,0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
How do I sign up for the Wellness Program at the ISC?,Sign up for the Wellness Program to join our online community and in-person programs.,0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
How can I connect with an Indigenous Clinical Counsellor at SFU?,Get connected with one of our Indigenous Clinical Counsellors for a one-on-one appointment or workshop.,0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
Are there any casual or knowledge-sharing events I can attend at the Elders Program Drop-in?,"Yes, there are casual conversations and knowledge-sharing opportunities at the Elders Program Drop-in.",0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
What skills can I learn by participating in the Cultural Connections workshops?,You can learn new skills and visit with the community.,0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
How do I access Black Mental Health supports through SFU Health and Counselling Services?,"You can access Black Mental Health supports through SFU Health and Counselling Services by visiting the HCS Black Student Supports page and booking a drop-in appointment with Tricia Kay Williams, the Black Counsellor, by appointment in advance.",0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
"Who is Tricia Kay Williams, and what services does she offer?",Tricia Kay Williams is a Black Counsellor at SFU. She offers drop-in counselling and supports related to Black Mental Health and other BIPOC-specific services.,0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
"What is the MindShift Application, and how can it help with anxiety?",The MindShift Application is an iOS and Android app designed to help individuals ease their anxiety through tools aimed at relaxing the mind and developing more effective ways of thinking.,0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
"Is the MindShift App free, and how can I download it?","Yes, the MindShift App is free. You can download it through the App Store and Google Play.",0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
What other counselling services are available at SFU Health and Counselling Services?,Additional support options and counselling services are available at SFU Health and Counselling Services.,0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
"Where is the SFU campus located in Burnaby, B.C.?","8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
Which Indigenous peoples’ traditional territories do the SFU campuses reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
How can students find more information about wellness programs and support services at SFU?,"Students can check the ISC Calendar of Events, fill out the feedback form or email iscadmin@sfu.ca, sign up for the Wellness Program, get connected with Indigenous Clinical Counsellors, attend Elders Program Drop-ins, join Cultural Connections workshops, visit the SFU Health and Counselling Services website, or explore resources like the MindShift app.",0_6_1_1_15,http://www.sfu.ca/students/indigenous/wellness.html
What services does ICBC provide across British Columbia?,"Auto insurance, driver licensing, claims, and vehicle registration.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
How does ICBC demonstrate its commitment to supporting Indigenous communities and promoting diversity and inclusion?,"ICBC demonstrates its commitment by having a Special Program designation from the BC Human Rights Commissioner, allowing them to preferentially target and hire self-identified Indigenous people to achieve greater employee representation. They actively learn, grow, and address disadvantages faced by Indigenous people through initiatives for both customers and employees, aiming to create a more inclusive and diverse workplace. Additionally, they have created specific Indigenous roles within the organization, maintain an Indigenous Talent Community to match Indigenous candidates to vacancies, and offer practicum opportunities and an Indigenous Employee Resource Group to support Indigenous employees' growth and inclusion.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
"What special program does ICBC have in place for Indigenous hiring, and what is its purpose?",ICBC has a Special Program designation from the BC Human Rights Commissioner that allows them to preferentially target and hire self-identified Indigenous people. Its purpose is to achieve greater employee representation of Indigenous peoples.,0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
What opportunities or positions are available for Indigenous students at ICBC?,"ICBC has created specific Indigenous roles within the organization and is committed to hiring Indigenous talent at all levels. They have an open Indigenous Talent Community posting to collect applications from Indigenous people, with efforts to match applicants to vacancies throughout the company. Additionally, they offer co-op opportunities in various business areas such as Finance, Human Resources, IT, Marketing, Administration, and Insurance. They also provide practicum opportunities for Indigenous students to practice their skills, learn about specific roles, and expand their understanding of ICBC.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
How does ICBC aim to match Indigenous talent to different roles within the organization?,"ICBC has created specific Indigenous roles within the organization and committed to hiring Indigenous talent at all levels. They have an open Indigenous Talent Community posting to collect applications from Indigenous people, then speak with candidates and endeavor to match them to vacancies throughout the company.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
What benefits and work environment does ICBC offer to its employees?,"ICBC offers a flexible work environment for most positions, a competitive benefits package, career opportunities, and a supportive and collaborative work environment.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
What co-op opportunities does ICBC provide in various business areas?,"ICBC offers co-op opportunities in various business areas such as Finance, Human Resources, IT, Marketing, Administration, and Insurance.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
"What skills, qualifications, or academic backgrounds does ICBC seek in potential Indigenous candidates?","We are seeking diverse skills, qualifications and academic backgrounds to fill a variety of roles.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
"What mentorship, training, or professional development programs are available for Indigenous employees at ICBC?","We offer practicum opportunities to Indigenous students where they can practice their existing skills and learn about specific roles while expanding their understanding of ICBC. We also have an Indigenous Employee Resource Group which regularly meets, connects, and plans inclusive activities.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
Can you contact Linda Epp for more information about Indigenous talent sourcing at ICBC?,"Yes, you can contact Linda Epp for more information about Indigenous talent sourcing at ICBC. Her email is linda.epp@icbc.com and her phone number is 604-968-3092.",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
"What is the contact information for Linda Epp, the Indigenous Talent Sourcing Specialist at ICBC?","Email: linda.epp@icbc.com  
Phone Number: 604-968-3092",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
Where is ICBC's office located?,"8888 University Drive Burnaby, B.C. Canada V5A 1S6",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
Which Indigenous nations' territories are recognized by Simon Fraser University where ICBC is located?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_39,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/ISCCareerWorkshops/ICBC.html
What questions or concerns do you have for the Indigenous Student Centre (ISC)?,[Your questions or concerns here],0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
How would you describe your experience as an Indigenous student at SFU?,"(Answers will vary based on individual experiences. Example responses could include: ""Positive and supportive,"" ""Challenging but rewarding,"" ""I feel welcomed and respected,"" ""I have faced some difficulties but appreciate the resources available,"" ""Overall, a good experience with room for improvement."")",0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
Is there anything you would like to share with ISC staff about your university journey?,[Your answer here],0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
What accomplishments would you like to celebrate related to your Indigenous identity or university experience?,[Your accomplishments related to your Indigenous identity or university experience],0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
Are there any specific topics or issues you want the ISC to be aware of?,[Your specific topics or issues here],0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
Do you have any feedback or suggestions for improving support for Indigenous students at SFU?,(No specific feedback or suggestions provided in the context.),0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
Would you like to share any personal stories or experiences with the ISC?,"Yes, I would like to share my personal story about my journey as an Indigenous student and how the ISC has supported me throughout my university experience.",0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
Are there resources or services you wish the ISC provided?,"(Responses may vary; example answer) Counselling services, cultural events, academic support programs, mental health resources, and mentorship opportunities.",0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
How comfortable do you feel sharing your feedback or experiences with the ISC?,"Very comfortable  
Somewhat comfortable  
Neutral  
Somewhat uncomfortable  
Very uncomfortable",0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
Would you like to participate in future initiatives or events hosted by the ISC?,Yes / No,0_6_1_1_4,http://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
What is the purpose of ISC's Cultural Connections program?,To provide Indigenous Students with opportunities to connect and engage with cultural and artistic activities.,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Who can participate in the Cultural Connections program?,Self-identified Indigenous Students,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
How can students find out about the specific dates and times for Cultural Connections activities?,Students can check the ISC Calendar of Events or the ISC Newsletter for updates and registration links.,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Where on the Burnaby Campus are the Cultural Connections gatherings held?,AQ 2002,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
At what times do the sessions on the Burnaby Campus typically occur?,Fridays from 2:00 pm to 4:00 pm,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Where on the Surrey Campus are the Cultural Connections activities held?,SRYC 5300,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
How can students get more information about the Cultural Connections program?,Email Katie Pearson at kpearson@sfu.ca,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Who should students contact for additional details about the program?,Katie Pearson,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
What is the address of Simon Fraser University’s Burnaby Campus?,"8888 University Drive Burnaby, B.C. Canada V5A 1S6",0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Which Indigenous nations’ traditional territories do the SFU campuses reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
How can students register for the Cultural Connections activities?,Check the ISC Calendar of Events or the ISC Newsletter for updates and registration links.,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Where can students find the ISC Calendar of Events or newsletter for updates?,They can check the ISC Calendar of Events or the ISC Newsletter.,0_6_1_1_7,http://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
What services does the Indigenous Student Centre (ISC) at SFU provide to enrolled Indigenous students?,The ISC provides supports and programs to currently enrolled self-identified Indigenous students at SFU.,0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I contact the ISC staff at Simon Fraser University?,"You can contact the ISC staff at Simon Fraser University by phone at 778-782-6929, by email at ask_isc@sfu.ca, or by visiting any of the ISC locations to connect with a staff member.",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
What are the hours of operation for the Indigenous Student Centre?,"Monday to Friday, 8:30am–4:30pm",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I set up a meeting with ISC staff or drop by their location?,You can reach out to the contact information provided or drop by any of the ISC locations to connect with an ISC staff member.,0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who is the Director of Indigenous Student Services at SFU and how can I contact them?,"Jessica La Rochelle  
isc_directors@sfu.ca",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who are the Coordinators of Indigenous Student Life at SFU?,"Katrina Haintz, Treena Chambers, Kim John, Katie Pearson, Jasmin Glaw",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I get in touch regarding the ISC Elder's Program or Elder Requests?,Reach out to iscelder@sfu.ca.,0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
Where can I find a full listing of Indigenous contacts on SFU campus?,Visit the Directory of Indigenous Contacts.,0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I contact the Indigenous Student Recruitment & Admissions Team for tours or admission guidance?,You can contact the Indigenous Student Recruitment & Admissions Team via email at ask_isc@sfu.ca or visit the ISC locations to connect with a staff member.,0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who can I contact about Monthly Lunches at the ISC?,iscproj@sfu.ca,0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
How do I connect with resources related to the Indigenous Student Life programs like the ILLC or Indigenous student staff opportunities?,You can reach out to Katrina Haintz at khaintz@sfu.ca for the Indigenous Student Life programs like the ILLC or Indigenous student staff opportunities.,0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I book an appointment with an Indigenous Clinical Counsellor at SFU?,You can email iscwell@sfu.ca to book an appointment with an Indigenous Clinical Counsellor.,0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
"Who are the current Indigenous Clinical Counsellors at SFU, and what are their availability?","The current Indigenous Clinical Counsellors at SFU are Jennifer Reandy and Tanu Gamble. Jennifer Reandy is available Tuesday to Friday at SRYC 5304, and Tanu Gamble is available Monday to Wednesday at AQ 2003.3.",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
"How can I get information about Peer Cousins, Career Programs, or IUPP students at SFU?","Come to Kim John's office for information on Peer Cousins, Career Programs, or IUPP students can reach him at iupp_help@sfu.ca.",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
What are some of the activities and programming coordinated by ISC staff such as the Playtime Coordinator or Wellness Coordinator?,"The Playtime Coordinator, Calcifer, organizes play activities, while the Wellness Coordinator, Cavapoo, focuses on wellness activities.",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who are the current support staff or therapy animals associated with the ISC?,"Beans, Calcifer, Solo",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
How does SFU acknowledge the traditional territories of Indigenous peoples on whose land the campuses are situated?,"Simon Fraser University respectfully acknowledges the xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo and Tsawwassen peoples on whose unceded traditional territories our three campuses reside.",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
Where is the Indigenous Student Centre located on the SFU campus?,"8888 University Drive, Burnaby, BC, Canada, V5A 1S6",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
What should I do if I want to learn more about Indigenous student resources or supports available at SFU?,"You can visit the Indigenous Student Centre (ISC), reach out via their contact information, or connect with any of the Indigenous Student Life Coordinators. Additionally, you can visit the Directory of Indigenous Contacts for a full listing of Indigenous contacts on campus.",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I contact the Indigenous Student Centre for general inquiries or assistance?,"Phone: 778-782-6929  
Email: ask_isc@sfu.ca",0_6_1_1_3,http://www.sfu.ca/students/indigenous/about-us/contact-us.html
"What is the purpose of the First Nations, Métis & Inuit Student Association (FNMISA)?","To provide supports and resources to FNMI students, support and preserve their cultural diversities, advocate for necessary services and resources for FNMI students, and promote awareness of FNMI cultures and issues within the SFU community.",0_9,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
Within which university student society is FNMISA located?,Simon Fraser Student Society (SFSS),0_9,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
Who can become a member of FNMISA?,The context does not specify the exact criteria for membership eligibility.,0_9,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What rights do FNMISA members have?,"Full and equal participation rights in fulfilling quorum, access to FNMISA space and resources, motioning and voting at all FNMISA meetings, elections, and eligibility for FNMISA Council, voting during FNMISA referenda, access to inspection of administration documents upon request, and the right to request a copy of the FNMISA Constitution and Bylaws.",0_9,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
Where is FNMISA located on campus?,SUB 1440,0_9,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
How can I contact FNMISA via email?,board@fnmisa.ca,0_9,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What is the website address for FNMISA?,fnmisa.ca,0_9,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
